seed,attack,condition,path,execution_path,round30_accuracy,round30_macro_f1,final_evaluation_reward,mean_round_time_sec
2025,data_poisoning,Data poisoning,twa,ep_twa,0.9693333333333334,0.9687669361192662,2.8466666666666667,2.9062060933338216
2025,data_poisoning,Data poisoning,ppa,ep_ppa,0.5303333333333333,0.4739833381433884,0.6516666666666664,3.429847096666102
2025,data_poisoning,Data poisoning,sdp_ppa,ep_sdp-ppa,0.5803333333333334,0.5042077084059993,0.9016666666666668,3.8112213233337875
2025,data_poisoning,Data poisoning,twa_ppa,ep_twa-ppa,0.9683333333333334,0.9677322993839458,2.841666666666667,3.3855786433333077
2025,reward_poisoning,Reward poisoning,fedavg,ep_0,0.54,0.4830025015362664,0.7000000000000002,2.7447523233331594
2025,reward_poisoning,Reward poisoning,static_dp,ep_sdp,0.5496666666666666,0.4800833662729449,0.7483333333333331,2.891907376666495
2025,reward_poisoning,Reward poisoning,twa,ep_twa,0.965,0.96428156039739,2.825,2.8842469533334225
2025,reward_poisoning,Reward poisoning,ppa,ep_ppa,0.5383333333333333,0.4812098941828476,0.6916666666666664,3.279387883333402
2025,reward_poisoning,Reward poisoning,sdp_ppa,ep_sdp-ppa,0.5416666666666666,0.4727327722555452,0.708333333333333,3.3676555433334823
2025,reward_poisoning,Reward poisoning,twa_ppa,ep_twa-ppa,0.9653333333333334,0.9646333055773604,2.826666666666667,3.3199693666667978
