run_id,seed,execution_path,condition,attack,rounds,num_clients,malicious_client_id,partition_hash,initial_checkpoint_hash,config_hash,status,log_path
s42_reward_poisoning_sdp_ppa,42,ep_sdp-ppa,adversarial,reward_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\reward_poisoning\run.log
s42_reward_poisoning_twa_ppa,42,ep_twa-ppa,adversarial,reward_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\reward_poisoning\run.log
s123_none_fedavg,123,ep_0,clean,none,30,5,,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\none\run.log
s123_none_static_dp,123,ep_sdp,clean,none,30,5,,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\none\run.log
s123_none_twa,123,ep_twa,clean,none,30,5,,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\none\run.log
s123_none_ppa,123,ep_ppa,clean,none,30,5,,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\none\run.log
s123_none_sdp_ppa,123,ep_sdp-ppa,clean,none,30,5,,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\none\run.log
s123_none_twa_ppa,123,ep_twa-ppa,clean,none,30,5,,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\none\run.log
s123_sign_flipping_fedavg,123,ep_0,adversarial,sign_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\sign_flipping\run.log
s123_sign_flipping_static_dp,123,ep_sdp,adversarial,sign_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\sign_flipping\run.log
s123_sign_flipping_twa,123,ep_twa,adversarial,sign_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\sign_flipping\run.log
s123_sign_flipping_ppa,123,ep_ppa,adversarial,sign_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\sign_flipping\run.log
s123_sign_flipping_sdp_ppa,123,ep_sdp-ppa,adversarial,sign_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,b3793247125b5c1ae7f55e436a54691b261c43ababb7cf8a45aa7ce7ae72681b,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_123\sign_flipping\run.log
