seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
2025,ep_sdp,static_dp,adversarial,label_flipping,29,0.692,0.6364494803632746,1.46
2025,ep_sdp,static_dp,adversarial,label_flipping,30,0.5593333333333333,0.4943407764242366,0.7966666666666669
2025,ep_twa,twa,adversarial,label_flipping,1,0.8266666666666667,0.8263237332985603,2.133333333333333
2025,ep_twa,twa,adversarial,label_flipping,2,0.937,0.9375289107093328,2.6850000000000005
2025,ep_twa,twa,adversarial,label_flipping,3,0.95,0.950380007302568,2.75
2025,ep_twa,twa,adversarial,label_flipping,4,0.9543333333333334,0.9544330564593604,2.7716666666666665
2025,ep_twa,twa,adversarial,label_flipping,5,0.971,0.9709880277821484,2.8549999999999995
2025,ep_twa,twa,adversarial,label_flipping,6,0.9756666666666668,0.9754403263330332,2.878333333333334
2025,ep_twa,twa,adversarial,label_flipping,7,0.9743333333333334,0.9740136591529044,2.871666666666667
2025,ep_twa,twa,adversarial,label_flipping,8,0.9696666666666668,0.9691591651069612,2.8483333333333336
2025,ep_twa,twa,adversarial,label_flipping,9,0.9663333333333334,0.9656486571596534,2.831666666666667
2025,ep_twa,twa,adversarial,label_flipping,10,0.9586666666666668,0.957544762486685,2.793333333333334
2025,ep_twa,twa,adversarial,label_flipping,11,0.9586666666666668,0.957545882569424,2.793333333333334
2025,ep_twa,twa,adversarial,label_flipping,12,0.959,0.9579099419803968,2.795
2025,ep_twa,twa,adversarial,label_flipping,13,0.9633333333333334,0.9624866863730926,2.8166666666666664
2025,ep_twa,twa,adversarial,label_flipping,14,0.964,0.963364536251851,2.8200000000000003
2025,ep_twa,twa,adversarial,label_flipping,15,0.965,0.964414895958186,2.825
2025,ep_twa,twa,adversarial,label_flipping,16,0.9633333333333334,0.9627228008440956,2.8166666666666664
2025,ep_twa,twa,adversarial,label_flipping,17,0.9686666666666668,0.9680826475647988,2.8433333333333337
2025,ep_twa,twa,adversarial,label_flipping,18,0.9653333333333334,0.9647786777034736,2.826666666666667
2025,ep_twa,twa,adversarial,label_flipping,19,0.9693333333333334,0.9688444359982415,2.8466666666666667
2025,ep_twa,twa,adversarial,label_flipping,20,0.9696666666666668,0.9691272405693652,2.8483333333333336
2025,ep_twa,twa,adversarial,label_flipping,21,0.9696666666666668,0.9691332552382402,2.8483333333333336
2025,ep_twa,twa,adversarial,label_flipping,22,0.969,0.9684527912100626,2.8449999999999998
2025,ep_twa,twa,adversarial,label_flipping,23,0.9696666666666668,0.9691563843971812,2.8483333333333336
2025,ep_twa,twa,adversarial,label_flipping,24,0.9696666666666668,0.969127467111799,2.8483333333333336
2025,ep_twa,twa,adversarial,label_flipping,25,0.9693333333333334,0.968830070949791,2.8466666666666667
2025,ep_twa,twa,adversarial,label_flipping,26,0.9706666666666668,0.9701646855250232,2.8533333333333335
